,ID,Temp,Lineage,OE_strain,Inoculation,Into_pint,Bleed_stage.x,Bleed_date.x,Death_date,Pupation_date,Eclosion_date,Surv_pupa,Surv_adult,Wing_deformity,Adult_death_date,Sex,Infection_status,OE_score,Dev_pupa,Dev_adult,Adult_longevity,NOTES,Bleed_date.y,Who,Bleed_stage.y,Mass,AvgHemo,Hemo_ul,LogHemo,PropPlasm,PropOeno,Initials,Date,AvgOE_count,Spore_load,logSpore_load,Area,Length,Breadth,AspectRatio,FinalAbsorbance,PropSpher,PropGran
404,404,18,D,E3,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/9/2019,1,1,1,7/18/2019,F,1,5,16,38,9,NA,6/14/2019,IR,Larva,1.4018,153.5,1536,3.186391216,0.446601942,0.029126214,CB,9/9/2019,16.9,845001,5.926857223,730.85,47.22,24.11,1.96,1.051,0.067961165,0.45631068
405,405,18,D,E3,6/1/2019,6/3/2019,Larva,6/16/2019,NA,6/17/2019,7/7/2019,1,1,0,7/27/2019,F,0,0,16,36,20,NA,6/16/2019,IR,Larva,1.3792,154,1541,3.187802639,0.243902439,0.040650407,NA,NA,NA,NA,NA,861.61,50.78,26.44,1.92,2.162,0.089430894,0.62601626
406,406,18,D,E3,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/8/2019,1,1,0,7/15/2019,F,1,5,16,37,7,NA,6/14/2019,IR,Larva,1.3902,177.75,1778.5,3.25005387,0.213592233,0.019417476,CB,9/5/2019,19.25,962501,5.983401189,837,49.78,25.77,1.93,1.985,0.077669903,0.689320388
407,407,18,D,E3,6/1/2019,6/3/2019,None,NA,NA,6/17/2019,7/8/2019,1,1,0,7/20/2019,M,1,5,16,37,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,9/9/2019,15.65,782501,5.893484901,885.94,51.26,26.95,1.9,NA,NA,NA
408,408,18,D,E3,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/18/2019,7/8/2019,1,1,0,7/19/2019,M,1,5,17,37,11,NA,6/14/2019,MRS,Larva,1.3158,173.375,1734.75,3.239236896,0.28358209,0.014925373,IR,9/5/2019,18.3,915001,5.961421569,852.02,50.59,26.11,1.94,1.623,0.029850746,0.671641791
409,409,18,D,E3,6/1/2019,6/3/2019,Pupa,6/25/2019,NA,6/17/2019,7/8/2019,1,1,0,7/21/2019,M,1,5,16,37,13,NA,6/25/2019,IR,Pupa,1.5009,9.75,98.5,1.99343623,NA,NA,CB,9/9/2019,29.75,1487501,6.172457266,860.34,50.92,26.53,1.92,NA,NA,NA
410,410,18,D,E3,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/8/2019,1,1,0,7/18/2019,F,1,5,16,37,10,NA,6/14/2019,IR,Larva,1.5734,198.375,1984.75,3.297705811,0.300884956,0.017699115,IR,9/5/2019,53.25,2662501,6.42528978,825.92,49.53,25.99,1.91,2.187,0.044247788,0.637168142
411,411,18,D,E10,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/7/2019,1,1,0,7/18/2019,F,1,5,16,36,11,NA,6/14/2019,MRS,Larva,1.4494,141.125,1412.25,3.149911583,0.221374046,0.022900763,CB,10/3/2019,9.55,477501,5.678974285,853.63,50.36,26.76,1.88,2.056,0.061068702,0.694656489
412,412,18,D,E10,6/1/2019,6/3/2019,Pupa,6/25/2019,NA,6/17/2019,7/7/2019,1,1,0,7/26/2019,M,1,5,16,36,19,NA,6/25/2019,IR,Pupa,1.4461,12.25,123.5,2.091666958,NA,NA,IR,9/10/2019,8.8,440001,5.643453664,908.12,52.16,27.29,1.91,2.621,NA,NA
413,413,18,D,E10,6/1/2019,6/3/2019,None,NA,NA,6/18/2019,7/9/2019,1,1,0,NA,M,0,0,17,38,NA,adult death recorded incorectly<U+0080>might be 8/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.27,50.51,26.08,1.94,NA,NA,NA
414,414,18,D,E10,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/7/2019,1,1,0,7/26/2019,M,1,5,16,36,19,NA,6/14/2019,IR,Larva,1.5129,149.875,1499.75,3.176018871,0.205607477,0.028037383,CB,10/3/2019,3.95,197501,5.295569299,819.44,49.59,24.87,1.99,1.621,0.037383178,0.728971963
415,415,18,D,E10,6/1/2019,6/3/2019,Pupa,6/26/2019,NA,6/17/2019,7/8/2019,1,1,0,7/22/2019,F,1,5,16,37,14,NA,6/26/2019,MRS,Pupa,1.2411,8.75,88.5,1.946943271,NA,NA,IR,9/10/2019,4.15,207501,5.317020194,822.8,49.91,25.83,1.93,2.2,NA,NA
416,416,18,D,E10,6/1/2019,6/3/2019,Pupa,6/26/2019,NA,6/17/2019,7/8/2019,1,1,0,7/22/2019,F,1,5,16,37,14,NA,6/26/2019,MRS,Pupa,1.2959,6.5,66,1.819543936,NA,NA,IR,9/9/2019,4.65,232501,5.366424825,873.15,51.39,26.48,1.94,2.281,NA,NA
417,417,18,D,E10,6/1/2019,6/3/2019,Pupa,6/28/2019,7/10/2019,6/17/2019,NA,1,0,NA,NA,NA,NA,NA,16,NA,NA,black pupa,6/28/2019,IR,Pupa,1.4669,11.625,117.25,2.069112851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.442,NA,NA
418,418,18,D,E10,6/1/2019,6/3/2019,None,NA,NA,6/18/2019,7/10/2019,1,1,0,7/25/2019,M,1,5,17,39,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,10/3/2019,11.35,567501,5.753966631,912.58,52.44,27.08,1.94,NA,NA,NA
419,419,18,D,E10,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/8/2019,1,1,0,7/20/2019,F,1,5,16,37,12,NA,6/14/2019,IR,Larva,1.422,178,1781,3.250663919,0.207920792,0.059405941,IR,9/9/2019,8.5,425001,5.628389952,820.56,49.03,25.85,1.9,1.928,0.02970297,0.702970297
420,420,18,D,E10,6/1/2019,6/3/2019,Larva,6/14/2019,NA,6/17/2019,7/9/2019,1,1,2,7/19/2019,M,1,5,16,38,10,NA,6/14/2019,IR,Larva,1.4532,145.625,1457.25,3.163534064,0.261682243,0.037383178,CB,10/3/2019,28.25,1412501,6.149988764,NA,NA,NA,NA,2.067,0.028037383,0.672897196
421,421,18,F,control,5/31/2019,6/3/2019,Pupa,7/1/2019,NA,6/20/2019,7/10/2019,1,1,0,7/30/2019,M,0,0,20,40,20,NA,7/1/2019,IR,Pupa,1.4094,10.125,102.25,2.009663317,NA,NA,NA,NA,NA,NA,NA,823.21,50.89,25.54,1.99,NA,NA,NA
422,422,18,F,control,5/31/2019,6/1/2019,Pupa,6/30/2019,NA,6/19/2019,7/8/2019,1,1,3,7/21/2019,F,0,0,19,38,13,NA,6/30/2019,MRS,Pupa,1.507,7.375,74.75,1.873611197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.076,NA,NA
423,423,18,F,control,5/31/2019,6/3/2019,Larva,6/14/2019,NA,6/19/2019,7/10/2019,1,1,0,7/30/2019,M,0,0,19,40,20,NA,6/14/2019,IR,Larva,1.0454,61.625,617.25,2.790461099,0.71559633,0.04587156,NA,NA,NA,NA,NA,826.21,50.97,25.55,1.99,1.06,0.055045872,0.183486239
424,424,18,F,control,5/31/2019,6/2/2019,Pupa,7/1/2019,NA,6/20/2019,7/9/2019,1,1,0,7/24/2019,F,0,0,20,39,15,NA,7/1/2019,MRS,Pupa,1.332,6.125,62.25,1.794139356,NA,NA,NA,NA,NA,NA,NA,826.74,50.24,25.93,1.94,NA,NA,NA
425,425,18,F,control,6/2/2019,6/4/2019,None,NA,6/23/2019,6/21/2019,NA,1,0,NA,NA,NA,NA,NA,19,NA,NA,brown pupa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,426,18,F,control,6/2/2019,6/4/2019,Pupa,7/2/2019,7/10/2019,6/21/2019,NA,1,0,NA,NA,NA,NA,NA,19,NA,NA,dead pupa turned black,7/2/2019,MRS,Pupa,1.339,8.75,88.5,1.946943271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,427,18,F,control,6/2/2019,6/3/2019,Larva,NA,6/14/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"death as third, dried and wrinkled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,428,18,F,control,6/2/2019,6/4/2019,None,NA,NA,6/21/2019,7/10/2019,1,1,0,7/24/2019,F,0,0,19,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888.77,51.86,26.86,1.93,NA,NA,NA
429,429,18,F,control,6/2/2019,6/4/2019,Pupa,6/30/2019,NA,6/19/2019,7/8/2019,1,1,1,7/26/2019,F,0,0,17,36,18,brown pupa,6/30/2019,MRS,Pupa,1.2193,9.375,94.75,1.976579219,NA,NA,NA,NA,NA,NA,NA,727.13,47.4,23.87,1.99,2.018,NA,NA
430,430,18,F,control,6/2/2019,6/3/2019,Pupa,NA,6/22/2019,6/20/2019,NA,1,0,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,431,18,F,E3,6/1/2019,6/3/2019,Pupa,7/1/2019,NA,6/20/2019,7/8/2019,1,1,0,7/24/2019,F,1,5,19,37,16,NA,7/1/2019,IR,Pupa,1.3754,14,141,2.149219113,NA,NA,IR,9/5/2019,13.45,672501,5.827692934,823.81,49.71,25.77,1.93,NA,NA,NA
432,432,18,F,E3,6/1/2019,6/4/2019,Pupa,6/29/2019,NA,6/18/2019,7/9/2019,1,1,0,7/18/2019,F,1,5,17,38,9,NA,6/29/2019,IR,Pupa,1.2759,11.625,117.25,2.069112851,NA,NA,IR,9/5/2019,3.05,152501,5.183272692,864.31,51.84,26.14,1.98,1.985,NA,NA
433,433,18,F,E3,6/1/2019,6/4/2019,Pupa,6/30/2019,NA,6/19/2019,7/8/2019,1,1,0,7/19/2019,F,1,5,18,37,11,NA,6/30/2019,MRS,Pupa,1.2666,24,241,2.382017043,NA,NA,IR,9/5/2019,9.6,480001,5.681242142,824.48,49.59,25.97,1.91,2.043,NA,NA
434,434,18,F,E3,6/1/2019,6/4/2019,Larva,6/14/2019,NA,6/19/2019,7/8/2019,1,1,0,7/17/2019,F,1,5,18,37,9,NA,6/14/2019,MRS,Larva,1.1152,119.125,1192.25,3.076367331,0.451923077,0.019230769,IR,9/5/2019,31.625,1581251,6.199000813,873.73,51.42,26.66,1.93,2.334,0.038461538,0.490384615
435,435,18,F,E3,6/1/2019,6/3/2019,Pupa,NA,6/10/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,death as brown 3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,436,18,F,E3,6/1/2019,6/3/2019,None,NA,NA,6/22/2019,7/12/2019,1,1,0,7/27/2019,F,1,5,21,41,15,probs 1 for pup score,NA,NA,NA,NA,NA,NA,NA,NA,NA,IR,9/5/2019,2.8,140001,5.146131138,875.21,51.83,26.46,1.96,NA,NA,NA
437,437,18,F,E3,6/1/2019,6/3/2019,Pupa,6/28/2019,NA,6/17/2019,7/7/2019,1,1,0,7/21/2019,F,1,5,16,36,14,NA,6/28/2019,IR,Pupa,1.2978,15,151,2.178976947,NA,NA,CB,10/3/2019,10.05,502501,5.70113693,855.49,50.16,26.54,1.89,2.6,NA,NA
438,438,18,F,E3,6/1/2019,6/4/2019,Larva,6/14/2019,NA,6/19/2019,7/8/2019,1,1,0,7/18/2019,M,1,5,18,37,10,NA,6/14/2019,IR,Larva,1.0538,71.75,718.5,2.856426772,0.369369369,0.036036036,CB,9/5/2019,13.45,672501,5.827692934,816.74,49.18,26.22,1.88,0.842,0.099099099,0.495495495
439,439,18,F,E3,6/1/2019,6/4/2019,Pupa,7/2/2019,NA,6/21/2019,7/11/2019,1,1,0,7/20/2019,M,1,5,20,40,9,NA,7/2/2019,MRS,Pupa,1.4382,14.5,146,2.164352856,NA,NA,CB,9/5/2019,9.8,490001,5.690196966,871.92,50.31,26.4,1.91,NA,NA,NA
440,440,18,F,E3,6/1/2019,6/4/2019,None,NA,NA,6/18/2019,7/9/2019,1,1,0,7/20/2019,F,1,5,17,38,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,9/9/2019,5.35,267501,5.42732541,827.31,48.65,26.14,1.86,NA,NA,NA
441,441,18,F,E10,6/2/2019,6/4/2019,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/5: no larva in pint,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,442,18,F,E10,6/2/2019,6/4/2019,Pupa,7/1/2019,NA,6/20/2019,7/9/2019,1,1,0,7/26/2019,M,1,5,18,37,17,NA,7/1/2019,IR,Pupa,1.3123,NA,NA,NA,NA,NA,IR,9/9/2019,5.4,270001,5.431365373,794.56,49.49,25.41,1.95,NA,NA,NA
443,443,18,F,E10,6/2/2019,6/3/2019,Larva,6/14/2019,NA,6/18/2019,7/9/2019,1,1,0,7/29/2019,F,0,0,16,37,20,NA,6/14/2019,IR,Larva,1.3216,238.125,2382.25,3.376987336,0.4,0.028571429,NA,NA,NA,NA,NA,857.91,50.8,26.27,1.93,1.728,0.038095238,0.533333333
444,444,18,F,E10,6/2/2019,6/5/2019,None,NA,NA,6/21/2019,7/10/2019,1,1,0,8/4/2019,M,0,0,19,38,25,adult death might be off...,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901.68,51.64,27.17,1.9,NA,NA,NA
445,445,18,F,E10,6/2/2019,6/4/2019,Larva,6/15/2019,NA,6/19/2019,7/9/2019,1,1,0,7/23/2019,F,1,5,17,37,14,NA,6/15/2019,IR,Larva,1.3395,142.125,1422.25,3.152975942,0.690909091,0.036363636,IR,9/10/2019,10,500001,5.698970873,879.41,52.87,26.26,2.01,1.83,0.018181818,0.254545455
446,446,18,F,E10,6/2/2019,6/5/2019,Pupa,7/1/2019,NA,6/20/2019,7/9/2019,1,1,0,7/25/2019,M,1,5,18,37,16,NA,7/1/2019,IR,Pupa,1.4852,8.125,82.25,1.915135907,NA,NA,IR,10/3/2019,1.55,77501,4.889307306,913.85,51.79,27.14,1.91,2.336,NA,NA
447,447,18,F,E10,6/1/2019,6/2/2019,Larva,6/15/2019,6/22/2019,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"failed to pupate, hanging",6/15/2019,IR,Larva,1.3298,103.625,1037.25,3.015883444,0.471698113,0.037735849,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.625,0.047169811,0.443396226
448,448,18,F,E10,6/1/2019,6/3/2019,None,NA,NA,6/21/2019,7/11/2019,1,1,0,7/26/2019,M,1,5,20,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IR,10/3/2019,8.2,410001,5.612784916,901.41,52.66,26.85,1.96,NA,NA,NA
449,449,18,F,E10,6/1/2019,6/2/2019,None,NA,NA,6/19/2019,7/9/2019,1,1,0,7/28/2019,F,1,5,18,38,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IR,9/9/2019,1.1,55001,4.740370586,839.48,51.02,25.63,1.99,NA,NA,NA
450,450,18,F,E10,5/31/2019,6/1/2019,None,NA,NA,6/18/2019,7/8/2019,1,1,0,7/25/2019,F,1,5,18,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IR,10/3/2019,3,150001,5.176094154,870.03,50.7,27.07,1.87,NA,NA,NA
