ID,Bleed_date,Who,Bleed_stage,Mass,#1,#2,#3,#4,#5,#6,#7,#8,TotalHemo,AvgHemo,Hemo_ul,LogHemo,G,P,S,O,PropPlasm,PropOeno,PropGran,PropSpher,Notes
13,7-Jun,IR,Pupa,1.0045,2,2,2,7,2,4,1,4,24,3,300,2.478566496,,,,,,,,,
15,9-Jun,SA,Pupa,1.2352,5,2,2,5,6,2,2,0,24,3,300,2.478566496,,,,,,,,,
19,9-Jun,SA,Pupa,1.059,3,4,3,0,0,0,2,1,13,1.625,162.5,2.213517757,,,,,,,,,
21,8-Jun,MRS,Pupa,1.105,,,,,,,,,,,,,,,,,,,,,Bled too early; lipid contamination
29,8-Jun,MRS,Pupa,1.236,2,2,8,1,1,3,6,4,,,,,,,,,,,,,
36,7-Jun,IR,Pupa,,4,1,8,1,4,3,6,3,30,3.75,375,2.575187845,,,,,,,,,
43,7-Jun,IR,Pupa,1.1032,,,,,,,,,,,,,,,,,,,,,Lipid Contamination
44,8-Jun,IR,Pupa,1.1571,16,24,13,19,2,0,6,4,84,10.5,1050,3.021602716,,,,,,,,,Mostly plasmatocytes 
50,9-Jun,SA,Pupa,1.1538,2,0,0,1,1,0,2,2,8,1,100,2.004321374,,,,,,,,,
51,9-Jun,SA,Pupa,,0,0,0,1,0,0,0,0,1,0.125,12.5,1.130333768,,,,,,,,,
56,7-Jun,IR,Pupa,0.9965,10,1,3,7,9,2,0,0,32,4,400,2.603144373,,,,,,,,,Scales
58,7-Jun,IR,Pupa,,4,4,8,2,6,7,10,9,50,6.25,625,2.796574333,,,,,,,,,Pupa
70,9-Jun,SA,Pupa,1.3224,0,0,0,0,0,0,0,1,1,0.125,12.5,1.130333768,,,,,,,,,
104,11-Jun,MRS,Pupa,1.2962,1,1,3,5,1,0,1,3,15,1.875,187.5,2.275311355,,,,,,,,,Lipid Contamination
107,11-Jun,MRS,Pupa,1.3166,7,4,7,2,3,1,3,2,29,3.625,362.5,2.560504415,,,,,,,,,Lipid Contamination
114,13-Jun,SA,Pupa,1.5655,2,2,1,1,3,2,2,1,14,1.75,175,2.245512668,,,,,,,,,
116,10-Jun,MRS,Pupa,1.5023,4,2,0,1,2,0,1,1,11,1.375,137.5,2.141449773,,,,,,,,,Lipid Contamination
121,10-Jun,MRS,Pupa,0.9849,1,0,0,0,3,0,5,3,12,1.5,150,2.178976947,,,,,,,,,
124,10-Jun,MRS,Pupa,1.3795,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
126,9-Jun,SA,Pupa,1.0372,,,,,,,,,,,,,,,,,,,,,Lipid Contamination
127,10-Jun,MRS,Pupa,1.4973,0,0,1,0,1,1,0,0,3,0.375,37.5,1.58546073,,,,,,,,,
128,11-Jun,MRS,Pupa,1.1805,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
131,10-Jun,MRS,Pupa,1.281,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
132,11-Jun,MRS,Pupa,1.2688,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Lipid Contamination
137,10-Jun,MRS,Pupa,1.2579,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1m / 3sp.
